Direction,PacketSize
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
outgoing,55
outgoing,55
outgoing,53
outgoing,45
outgoing,55
outgoing,55
outgoing,53
outgoing,45
outgoing,55
outgoing,45
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
outgoing,52
outgoing,52
incoming,45
incoming,45
outgoing,55
outgoing,45
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
incoming,45
outgoing,77
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,77
outgoing,77
outgoing,77
outgoing,57
outgoing,57
outgoing,57
outgoing,55
outgoing,55
outgoing,68
outgoing,51
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
outgoing,77
outgoing,77
outgoing,77
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,57
outgoing,57
outgoing,57
outgoing,57
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
outgoing,45
incoming,45
outgoing,45
outgoing,52
outgoing,52
outgoing,52
outgoing,52
outgoing,52
outgoing,45
incoming,45
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
incoming,50
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,50
outgoing,55
outgoing,55
outgoing,53
outgoing,45
incoming,45
incoming,50
outgoing,55
outgoing,55
outgoing,53
outgoing,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,45
incoming,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,50
outgoing,45
outgoing,52
outgoing,52
outgoing,55
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,55
outgoing,55
outgoing,68
outgoing,51
outgoing,77
outgoing,77
outgoing,77
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
outgoing,52
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,55
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
incoming,50
outgoing,55
outgoing,55
outgoing,53
outgoing,45
incoming,45
incoming,50
outgoing,55
outgoing,55
outgoing,53
outgoing,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
outgoing,57
outgoing,57
outgoing,77
outgoing,77
outgoing,77
outgoing,57
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,48
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,57
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
outgoing,57
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,57
outgoing,57
incoming,48
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,57
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,45
outgoing,57
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
incoming,50
outgoing,55
outgoing,55
outgoing,53
outgoing,45
incoming,45
incoming,50
outgoing,55
incoming,50
outgoing,55
outgoing,55
outgoing,45
outgoing,53
outgoing,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
outgoing,55
outgoing,55
outgoing,68
outgoing,51
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
incoming,48
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
incoming,50
outgoing,55
outgoing,55
outgoing,53
outgoing,45
incoming,45
incoming,50
outgoing,55
outgoing,55
outgoing,53
outgoing,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,55
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
outgoing,45
incoming,50
outgoing,55
outgoing,45
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
outgoing,57
outgoing,57
outgoing,77
outgoing,77
outgoing,77
outgoing,57
incoming,48
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
outgoing,77
incoming,48
incoming,48
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
outgoing,45
outgoing,45
incoming,50
outgoing,55
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,48
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,50
outgoing,55
outgoing,55
outgoing,53
outgoing,45
incoming,45
incoming,50
outgoing,55
outgoing,55
outgoing,53
outgoing,45
incoming,45
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
outgoing,77
outgoing,77
outgoing,77
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
incoming,45
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
incoming,45
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
outgoing,45
incoming,45
outgoing,57
outgoing,57
outgoing,57
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
outgoing,55
incoming,45
incoming,45
incoming,45
outgoing,55
outgoing,45
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,50
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,52
outgoing,52
incoming,45
incoming,45
incoming,45
incoming,50
outgoing,55
outgoing,45
incoming,50
incoming,50
incoming,50
outgoing,55
outgoing,45
incoming,48
outgoing,55
outgoing,55
outgoing,55
outgoing,50
outgoing,45
incoming,45
incoming,48
outgoing,55
outgoing,55
outgoing,50
outgoing,45
outgoing,45
incoming,45
